artigoEmPeriodico	 	2023	2261-0758		As mudanças no campo do digital : entrevista com Laura Graziela Gomes.	CULTURES-KAIRÓS	ALFENAS, R. ; RAMOS, J. S.		
artigoEmPeriodico	 	2023	2519-8688		Women in the making of Social Theory beyond the canon	Global Dialogue	Campos, Luna ; Daflon, Verônica Toste		
artigoEmPeriodico	 	2023	2575-7350	http://dx.doi.org/10.1525/gp.2023.88389	Parochialism and Its Meanings in the Latin American Social Sciences: Experiments with Web of Science and SciELO	Global Perspectives	Carvalho, Lucas; BRASIL, ANTONIO		
artigoEmPeriodico	 	2023	2526-5229		Notas sobre o caráter e a velocidade das mudanças institucionais contemporâneas	Revista Metaxy	FRIDMAN, L. C		
artigoEmPeriodico	 	2023	1806-9053	http://dx.doi.org/10.1590/3811003/2023	Guerra urbana e expansão de mercados no Rio de Janeiro	REVISTA BRASILEIRA DE CIÊNCIAS SOCIAIS (ONLINE)	HIRATA, DANIEL VELOSO ; GRILLO, Carolina Christoph ; TELLES, VERA DA SILVA		
artigoEmPeriodico	 	2023	1517-5901		A Trajetória da Indústria Automotiva no México: uma entrevista com Jorge Carrillo Viveros	POLÍTICA & TRABALHO (UFPB. IMPRESSO)	LIMA, Raphael Jonathas da Costa; DULCI, J. A.		
artigoEmPeriodico	 	2023	2261-0758		Antropologia digital a partir do Sul Global. CULTURES-KAIRÓS	CULTURES-KAIRÓS	RAMOS, J. S.; ALFENAS, R.		
artigoEmPeriodico	 	2023	2261-0758		A digitalização do desejo: entrevista com Richard Miskolci.	CULTURES-KAIRÓS	RAMOS, J. S.; ALFENAS, R.		
artigoEmPeriodico	 	2023	1531-426X	http://dx.doi.org/10.1017/lap.2023.18	Seeing Race Like a State: Higher Education Affirmative Action Verification Commissions in Brazil	LATIN AMERICAN POLITICS AND SOCIETY	SILVA, GRAZIELLA MORAES ; Daflon, Verônica Toste ; GIRAUT, Camille		
artigoEmPeriodico	 	2023	0103-2070	http://dx.doi.org/10.11606/0103-2070.ts.2023.200986	Desigualdades sociais na entrada no emprego formal entre graduados da educação superior	Tempo Social	VIEIRA, A. H. P		
artigoEmPeriodico	 	2023	1982-5765	http://dx.doi.org/10.1590/S1414-40772023000100006	The entry of graduates of higher education degrees into teaching	AVALIAÇÃO: REVISTA DA AVALIAÇÃO DA EDUCAÇÃO SUPERIOR	VIEIRA, A. H. P.; BARBOSA, M. L. O. ; PAUL, J-J.		
trabalhoCompletoEmCongresso	 	2023		O direito territorial quilombola no Brasil: uma análise das decisões judiciais nos Tribunais Federais entre os anos de 1988 a 2020	GT 26: Processos de Reconhecimento de Direitos Territoriais e Culturais	JORGE, A. L. ; LEME, A. A.		
trabalhoCompletoEmCongresso	 	2023		Decisões judiciais nos Tribunais Superiores de Justiça no Brasil e a disputa pelo direito ao território quilombola	21º. CONGRESSO BRASILEIRO DE SOCIOLOGIA SOCIOLOGIAS PARA PENSAR O CONTEMPORÂNEO	JORGE, A. L. ; LEME, A. A.		
trabalhoCompletoEmCongresso	 	2023		Contrato de trabalho intermitente: debates e propostas na Câmara dos Deputados antes e durante a tramitação da Reforma Trabalhista de 2017	21o Congresso Brasileiro de Sociologia	MOREIRA, H. R. ; MONTEIRO, C. F.		
resumoExpandidoEmCongresso	 	2023	Decisões judiciais nos Tribunais Superiores de Justiça no Brasil e a disputa pelo direito ao território quilombola	21º. CONGRESSO BRASILEIRO DE SOCIOLOGIA SOCIOLOGIAS PARA PENSAR O CONTEMPORÂNEO, 2023, Belém do Pará. 21º. CONGRESSO BRASILEIRO DE SOCIOLOGIA SOCIOLOGIAS PARA PENSAR O CONTEMPORÂNEO. SBS Belém do Pará: SBS	JORGE, A. L. ; LEME, A. A.		
